Cenário 1: Nesse teste, serão preenchidos todos os campos do cadastro, e clicará em 'Salvar'. | Tipo=CADASTRO | ID=CADASTRO_0005 | Sev=MEDIUM | Início=25/09/2025 15:35:28 | Erro=cionar Status Ativo concluída.
Cenário 2: Nesse teste, serão preenchidos todos os campos do cadastro, e clicará em "Cancelar". | Tipo=CADASTRO | ID=CADASTRO_0006 | Sev=MEDIUM | Início=25/09/2025 15:36:42 | Erro=cionar Status Ativo concluída.
Cenário 3: TESTE CENARIO 3 | Tipo=CADASTRO | ID=CADASTRO_0007 | Sev=MEDIUM | Início=25/09/2025 15:37:55 | Erro=cionar Status Ativo concluída.
Cenário 1: Nesse teste, o robô preencherá os todos campos e salvará o cadastro de uma nova Comissão. | Tipo=CADASTRO | ID=CADASTRO_0015 | Sev=MEDIUM | Início=25/09/2025 15:41:42 | Erro=png
Cenário 2: Nesse teste, o robô preencherá os campos e cancelará o cadastro de uma nova Comissão. | Tipo=CADASTRO | ID=CADASTRO_0016 | Sev=MEDIUM | Início=25/09/2025 15:42:16 | Erro=png
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Comissão. | Tipo=CADASTRO | ID=CADASTRO_0017 | Sev=MEDIUM | Início=25/09/2025 15:43:10 | Erro=png
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de um novo Modo de Envio de Cobrança, com a finalidade de validar o disparo de mensagens no sistema. | Tipo=CADASTRO | ID=CADASTRO_0065 | Sev=MEDIUM | Início=25/09/2025 16:16:16 | Erro=alizada com sucesso.
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Ocorrência, com a finalidade de validar o disparo de mensagens no sistema. | Tipo=CADASTRO | ID=CADASTRO_0084 | Sev=MEDIUM | Início=25/09/2025 16:32:37 | Erro=realizada com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Pacote. | Tipo=CADASTRO | ID=CADASTRO_0085 | Sev=MEDIUM | Início=25/09/2025 16:33:02 | Erro=elecionando a opção 'Agregado'...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Pacote. | Tipo=CADASTRO | ID=CADASTRO_0086 | Sev=MEDIUM | Início=25/09/2025 16:35:52 | Erro=elecionando a opção 'Agregado'...
Cenário 3: Nesse teste, o robô preencherá APENAS os campos obrigatórios e salvará o cadastro de um novo Pacote. | Tipo=CADASTRO | ID=CADASTRO_0087 | Sev=MEDIUM | Início=25/09/2025 16:38:38 | Erro=elecionando a opção 'Agregado'...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Pessoa. | Tipo=CADASTRO | ID=CADASTRO_0102 | Sev=MEDIUM | Início=25/09/2025 16:53:08 | Erro=Preenchendo Endereço - Método Retry realizada com sucesso.
