Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Cartão. | Arquivo=cadastrodecartões1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0018 | Sev=MEDIUM | Início=26/09/2025 12:07:33 | Erro=ts\formulario_aberto_120809.png
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Cartão. | Arquivo=cadastrodecartões2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0019 | Sev=MEDIUM | Início=26/09/2025 12:08:40 | Erro=ts\formulario_aberto_120900.png
Cenário 3: Nesse teste, o robô preencherá APENAS os dados obrigatórios e salvará o cadastro de um novo Cartão. | Arquivo=cadastrodecartões3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0020 | Sev=MEDIUM | Início=26/09/2025 12:09:18 | Erro=_aberto_120939.png
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de uma nova Bandeira de Cartão. | Arquivo=cadastrodecartõesbandeira1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0022 | Sev=MEDIUM | Início=26/09/2025 12:10:40 | Erro=o.
Cenário 3: Nesse teste, o robô preencherá APENAS os dados obrigatórios e salvará o cadastro de uma nova Bandeira de Cartão. | Arquivo=cadastrodecartõesbandeira3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0024 | Sev=MEDIUM | Início=26/09/2025 12:11:49 | Erro=png
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Cobrador. | Arquivo=cadastrodecobrador1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0036 | Sev=MEDIUM | Início=26/09/2025 12:17:41 | Erro=o 'Código Referência' para o código ser gerado pelo sistema realizada com sucesso.
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Cobrador. | Arquivo=cadastrodecobrador2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0037 | Sev=MEDIUM | Início=26/09/2025 12:18:58 | Erro=o 'Código Referência' para o código ser gerado pelo sistema realizada com sucesso.
Cenário 3: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de uma nova Condição de Pagamento Faturamento MXM, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodecondiçaopagamentofaturamentoMXM3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0040 | Sev=MEDIUM | Início=26/09/2025 12:21:04 | Erro=alizada com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Conveniado. | Arquivo=cadastrodeconveniados1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0041 | Sev=MEDIUM | Início=26/09/2025 12:21:30 | Erro=m Salvar...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Cor. | Arquivo=cadastrodecor2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0058 | Sev=MEDIUM | Início=26/09/2025 12:34:23 | Erro=da com sucesso.
Cenário 3: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de uma nova Duração da Gestação, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodeduracaodagestaçao3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0062 | Sev=MEDIUM | Início=26/09/2025 12:36:34 | Erro=alizada com sucesso.
